Comment,Designator,Footprint,JLCPCB Part #
0.1uF,C2 C3,C1206K,C24497
0.33uF,C1,C1206K,C274377
2N7002,Q2,SOT95P240X111-3N,C916396
10k,10K.1 10K.2 10K.5 10K.6 10K.7 10K.8 10K.9,603,C25804
20k,20K1,603,C4184
300,R2,603,C23025
1812L050PR,F1,FUSM4632X75,C151169
ADS1115,U1,MSOP10,C37593
BSS138,Q1 Q5,SOT95P240X111-3N,C112239
DFLS1100-7,D2 D3,DIO_DFLS1100-7,C107674
IPD50P04P4L-11,Q3,DPAK228P998X235-3N,C5370996
LED_RED,D4,LEDC1005X25N_FLAT-R,C273598
SHT45-AD1B-R2,U$2,SHT4X,C5221601
0.1uF,C4,603,C14663